"SampleId","Location","Site","SampleDate","MicroscopeType","WholePlate","Species","IsSpeciesToxic","VolumeInMillilitres","Average","NumberOfColonies","CellsPerMl","TotalBioVolume","PotentiallyToxicCellMl","PotentiallyToxicBioVolume","ToxinCluster"
5330.1,"Rotorua","Holdens Bay",2024-12-02,"20A","160","Dolichospermum circinale",TRUE,10,53.84210526,NA,3213.853958,1.850022893,3213.853958,1.850022893,""
5330.2,"Rotorua","Holdens Bay",2024-12-02,"20A","160","Aphanocapsa delicatissima",FALSE,10,13,NA,40.84076389,0.000004084,0,0,""
5330.3,"Rotorua","Holdens Bay",2024-12-02,"20A","160","Pseudanabaena limnetica (cylinder)",TRUE,10,5.666666667,NA,53.40715278,0.004219165,53.40715278,0.004219165,""
5330.4,"Rotorua","Holdens Bay",2024-12-02,"20A","160","Geitlerinema sp",FALSE,10,16,NA,50.26555556,0.001105842,0,0,""
5331.1,"Rotorua","Ngongotaha",2024-12-02,"20A","160","Dolichospermum circinale",TRUE,10,52.35,25,7400.817656,4.260206676,7400.817656,4.260206676,""
5331.2,"Rotorua","Ngongotaha",2024-12-02,"20A","160","Dolichospermum planctonicum",TRUE,10,18,NA,169.64625,0.062769113,169.64625,0.062769113,""
5331.3,"Rotorua","Ngongotaha",2024-12-02,"20A","160","Pseudanabaena sp.",TRUE,10,11,NA,69.11513889,0.00269549,69.11513889,0.00269549,""
5332.1,"Kaituna","Trout Pool",2024-12-02,"20A","160","Dolichospermum circinale",TRUE,10,33,8,2902.835833,1.670988419,2902.835833,1.670988419,""
5332.2,"Kaituna","Trout Pool",2024-12-02,"20A","160","Dolichospermum sp",TRUE,10,26,NA,81.68152778,0.01551949,81.68152778,0.01551949,""
5332.3,"Kaituna","Trout Pool",2024-12-02,"20A","160","Dolichospermum planctonicum",TRUE,10,13.5,NA,84.823125,0.031384556,84.823125,0.031384556,""
5333.1,"Rotoiti","Okere Arm",2024-12-02,"20A","160","Dolichospermum circinale",TRUE,10,68.23529412,NA,3644.252778,2.097777669,3644.252778,2.097777669,""
5333.2,"Rotoiti","Okere Arm",2024-12-02,"20A","160","Dolichospermum planctonicum",TRUE,10,57,NA,179.0710417,0.066256285,179.0710417,0.066256285,""
5333.3,"Rotoiti","Okere Arm",2024-12-02,"20A","160","Aphanocapsa sp",FALSE,10,18,NA,56.54875,0.000127235,0,0,""
5334.1,"Rotorua","Ohau Channel",2024-12-02,"20A","160","Dolichospermum circinale",TRUE,10,66.3,1,4374.045813,2.517875732,4374.045813,2.517875732,""
5334.2,"Rotorua","Ohau Channel",2024-12-02,"20A","160","Aphanocapsa sp",FALSE,10,2,NA,6.283194444,0.0000141371,0,0,""
5334.3,"Rotorua","Ohau Channel",2024-12-02,"20A","160","Pseudanabaena sp.",TRUE,10,6,NA,18.84958333,0.000735134,18.84958333,0.000735134,""
5340.1,"Rotorua","Hamurana",2024-12-02,"20A","Whole Plate","Pseudanabaena limnetica (cylinder)",TRUE,10,22.4,NA,11.2,0.0008848,11.2,0.0008848,""
5340.2,"Rotorua","Hamurana",2024-12-02,"20A","Whole Plate","Dolichospermum circinale",TRUE,10,43.1,20,172.4,0.099240336,172.4,0.099240336,""
5340.3,"Rotorua","Hamurana",2024-12-02,"20A","Whole Plate","Dolichospermum planctonicum",TRUE,10,34.5,NA,13.8,0.005106,13.8,0.005106,""
5340.4,"Rotorua","Hamurana",2024-12-02,"20A","Whole Plate","Phormidium sp",TRUE,10,21.5,NA,4.3,0.000401362,4.3,0.000401362,""
5327.1,"Rotorua","Ohau Channel",2024-11-27,"20A","160","Dolichospermum circinale",TRUE,10,58.45,40,11017.58146,6.342160591,11017.58146,6.342160591,""
