"Site","date","crps","rmse"
"Hamurana","2024-12-02",0.148626430839557,0.207521179660411
"Hamurana","2024-12-09",3.17722974975849,3.4458302126285
"Hamurana","2024-12-16",3.62502891851382,4.11659229197513
"Hamurana","2025-01-06",2.40714906974997,2.41876735287739
"Hamurana","2025-01-13",0.289268979837454,0.312083241302821
"Hamurana","2025-01-20",0.0385173919649624,0.0014858220102069
"Hamurana","2025-01-27",0.0281193079709475,0.00021619025255372
"Hamurana","2025-02-03",0.0184193984587026,0.00240645688183603
"Hamurana","2025-02-10",0.0102377203987441,0.00353731867865039
"Hamurana","2025-02-17",0.122199730974918,0.0408252427478694
"Hamurana","2025-02-24",0.12162068303681,0.00726949810340559
"Hamurana","2025-03-03",0.16168145157632,0.0278884666740258
"Hamurana","2025-03-10",0.349720676535043,0.0327672823506252
"Hamurana","2025-03-17",0.809102672486376,0.0912498581824198
"Hamurana","2025-03-24",0.0573161499360022,0.0050070579754707
"Hamurana","2025-03-31",0.487023438309124,0.0214084802723999
"Hamurana","2025-04-07",0.358153047634616,0.0528839419672275
"Hamurana","2025-04-14",0.103368285713894,0.0254283972987561
"Hamurana","2025-04-21",0.0673995589909309,0.00444621215040233
"Hamurana","2025-04-28",0.0201488706359971,0.00427072521707455
"Hamurana","2025-05-05",0.0325115788049948,0.00205398178166596
"Hamurana","2025-05-12",0.0138482688853773,0.0168640140020873
"Hamurana","2025-05-19",0.0052996813734075,0.0051986446691672
"Hamurana","2025-05-26",0.00137462100681528,9.21909059172399e-05
"Hamurana",NA,NA,NA
"Hamurana",NA,NA,NA
"Hamurana",NA,NA,NA
"Holdens Bay","2024-12-02",3.0934970515737,3.69625704800671
"Holdens Bay","2024-12-09",6.5347931104474,7.45687327026977
"Holdens Bay","2024-12-16",8.22522239535621,9.92950976887116
"Holdens Bay","2024-12-23",1.72522273081323,3.02225284463109
"Holdens Bay","2025-01-06",2.47593487402089,2.8145426386106
"Holdens Bay","2025-01-13",2.05662649264631,2.54166254190494
"Holdens Bay","2025-01-20",0.102656141848052,0.0781859295966544
"Holdens Bay","2025-01-27",0.143120239964563,0.0142846046010905
"Holdens Bay","2025-02-03",0.0429769601424134,0.0104787321520956
"Holdens Bay","2025-02-10",0.159741847825949,0.0323283115424924
"Holdens Bay","2025-02-17",0.0475672392973976,0.0324622801422852
"Holdens Bay","2025-02-24",0.671928131015481,0.031247621729298
"Holdens Bay","2025-03-03",2.17008874517097,0.0306980322163921
"Holdens Bay","2025-03-10",0.363607244646716,0.105738020442338
"Holdens Bay","2025-03-17",0.776682726833843,0.0088387908769907
"Holdens Bay","2025-03-24",0.291326602910564,0.0239098877860756
"Holdens Bay","2025-03-31",0.395435483996887,0.021479991979689
"Holdens Bay","2025-04-07",0.235614055217213,0.0197731240682883
"Holdens Bay","2025-04-14",0.468761595859913,0.0825905635312286
"Holdens Bay","2025-04-21",0.0752972172490728,0.031580806618649
"Holdens Bay","2025-04-28",0.0242337065865995,0.0131757162248383
"Holdens Bay","2025-05-05",0.01501299926649,0.0100533140846664
"Holdens Bay","2025-05-12",0.0293638726899606,0.0075240829184179
"Holdens Bay","2025-05-19",0.0251426149947071,0.0159943235317836
"Holdens Bay","2025-05-26",0.0442990992508975,0.0634666624986651
"Holdens Bay",NA,NA,NA
"Holdens Bay",NA,NA,NA
"Holdens Bay",NA,NA,NA
"Holdens Bay",NA,NA,NA
"Ngongotaha","2024-12-02",7.84072940509078,8.64013702270167
"Ngongotaha","2024-12-09",0.221816533091729,0.3342517373788
"Ngongotaha","2024-12-16",0.171968573164189,0.284254551168636
"Ngongotaha","2025-01-06",6.4845902954571,7.30791026524804
"Ngongotaha","2025-01-13",0.532307861694996,0.701971393199554
"Ngongotaha","2025-01-20",0.04041864270737,0.0244348599048685
"Ngongotaha","2025-01-27",0.0639726804593531,0.0327963037055595
"Ngongotaha","2025-02-03",0.0553325144546677,0.0873189110126096
"Ngongotaha","2025-02-10",0.0320886191093609,0.0027546316849559
"Ngongotaha","2025-02-17",0.704531735445678,0.00413006208483781
